Id,Qual é o seu departamento?,Há quanto tempo você faz parte do grupo UOL?,Qual lanche você prefere?,Qual bebida você prefere?,Em que cidade você mora?,Qual o seu método de comunicação preferido no trabalho?,Qual o seu hobby preferido?,Qual seu gênero preferido de música? (Pode marcar mais de um),Qual seu turno de preferência para reuniões de trabalho?,Qual seu gênero de filme preferido? (Pode marcar mais de um),"Se você pudesse viajar para qualquer lugar, para onde iria?"
0,Jurídico,4-6 anos,Fruta,Chá,Porto Alegre,Telefone,Leitura,Funk,Começo da tarde,Romance,Europa
1,Data & Analytics,<1 ano,Bolo,Suco de Frutas,BH,Chat,Cozinhar,Rock;Sertanejo,Começo da tarde,Comédia,Amazonas
2,Atendimento,<1 ano,Bolo,Chocolate quente,São Paulo,E-mail,Esportes,Jazz;MPB,Começo da tarde,Documentário;Romance;Ficção Científica,China
3,Inovação,4-6 anos,Bolo,Suco de Frutas,POA,Telefone,Viajar,Clássica,Começo da tarde,Drama;Ficção Científica,EUA
4,Ingresso.com,7-10 anos,Pão de Queijo,Leite,SP,Reuniões,Cozinhar,Sertanejo,Final da tarde,Drama,Tramandaí
5,Publicidade,<1 ano,Salada de frutas,Café,POA,Reuniões,Esportes,Pop,Começo da tarde,Terror;Animação,Europa
6,Atendimento,1-3 anos,Salada de frutas,Água,BH,Chat,Viajar,Rock,Manhã,Documentário,Amsterdam
7,Parcerias,4-6 anos,Pão de Queijo,Leite,Porto Alegre - RS,E-mail,Viajar,Clássica,Começo da tarde,Drama,Amazonas
8,Parcerias,7-10 anos,Sanduíche,Água,BH,E-mail,Esportes,Jazz;MPB,Manhã,Comédia;Ficção Científica,Itália
9,Publicidade,4-6 anos,Bolo,Chocolate quente,SP,Reuniões,Cozinhar,Sertanejo,Começo da tarde,Ficção Científica,Tramandaí
10,Segurança,1-3 anos,Bolo,Água,RJ,Chat,Cozinhar,Jazz,Final da tarde,Terror,Chile
11,Marketing,4-6 anos,Pão de Queijo,Café,Porto Alegre,Chat,Leitura,Sertanejo,Final da tarde,Animação,Toyko
12,Ingresso.com,<1 ano,Salada de frutas,Suco de Frutas,BH,E-mail,Esportes,Clássica,Começo da tarde,Documentário;Drama,EUA
13,Produtos Digitais,7-10 anos,Sanduíche,Leite,Rio de Janeiro,Reuniões,Leitura,MPB;Sertanejo,Manhã,Ficção Científica,Tramandaí
14,Parcerias,4-6 anos,Sanduíche,Chocolate quente,Porto Alegre - RS,E-mail,Viajar,Pop,Manhã,Ficção Científica;Comédia,EUA
15,Host,1-3 anos,Salada de frutas,Café,RJ,Chat,Jogos,Pop;MPB;Rock,Final da tarde,Terror,EUA
16,Financeiro,1-3 anos,Salada de frutas,Café,RJ,Reuniões,Viajar,Sertanejo,Manhã,Ação,Chile
17,RH,1-3 anos,Fruta,Chocolate quente,Porto Alegre - RS,E-mail,Leitura,MPB,Começo da tarde,Animação,EUA
18,RH,1-3 anos,Pão de Queijo,Água,Rio de Janeiro,Reuniões,Leitura,Funk,Começo da tarde,Drama,Toyko
19,Inovação,4-6 anos,Bolo,Café,POA,Chat,Cozinhar,Rap,Começo da tarde,Terror,Bariloche
20,Parcerias,7-10 anos,Bolo,Chá,Belo Horizonte,Reuniões,Esportes,MPB,Final da tarde,Comédia,EUA
21,RH,7-10 anos,Pão de Queijo,Café,Rio de Janeiro,E-mail,Cozinhar,Clássica,Começo da tarde,Ficção Científica;Drama,USA
22,P&D,4-6 anos,Salada de frutas,Café,São Paulo,Reuniões,Cozinhar,Jazz,Manhã,Terror,Tramandaí
23,P&D,4-6 anos,Salada de frutas,Café,RJ,Reuniões,Cozinhar,Sertanejo;Rock;Rap;MPB;Eletrônica,Começo da tarde,Ficção Científica;Documentário,Tramandaí
24,Publicidade,1-3 anos,Pão de Queijo,Suco de Frutas,Rio de Janeiro,E-mail,Esportes,Jazz,Começo da tarde,Animação,Chile
25,P&D,1-3 anos,Fruta,Café,RJ,Telefone,Cozinhar,Rap,Começo da tarde,Ação,China
26,Produtos Digitais,4-6 anos,Pão de Queijo,Chocolate quente,SP,Reuniões,Viajar,Rock;Pop,Começo da tarde,Animação,Europa
27,Ingresso.com,<1 ano,Bolo,Chocolate quente,POA,Chat,Viajar,Funk;Rap,Começo da tarde,Documentário,EUA
28,Marketing,1-3 anos,Pão de Queijo,Suco de Frutas,BH,Chat,Jogos,Eletrônica,Final da tarde,Ação,Amsterdam
29,Jurídico,<1 ano,Fruta,Água,SP,E-mail,Viajar,MPB,Final da tarde,Terror;Romance;Ficção Científica,China
30,Ingresso.com,1-3 anos,Salada de frutas,Leite,POA,Chat,Viajar,Sertanejo,Começo da tarde,Terror,Europa
31,Atendimento,4-6 anos,Pão de Queijo,Suco de Frutas,RJ,Chat,Leitura,Jazz,Começo da tarde,Documentário,Chile
32,P&D,4-6 anos,Pão de Queijo,Chocolate quente,RJ,Reuniões,Cozinhar,Rock,Final da tarde,Documentário,Madrid
33,Ingresso.com,1-3 anos,Bolo,Água,Belo Horizonte,Chat,Cozinhar,Rap;Funk,Começo da tarde,Ficção Científica,Toyko
34,Jurídico,10+ anos,Pão de Queijo,Café,Porto Alegre,Chat,Esportes,Funk,Começo da tarde,Documentário;Romance,Bariloche
35,RH,10+ anos,Sanduíche,Chá,RJ,Chat,Cozinhar,Funk;Rock,Manhã,Romance,Bariloche
36,Operações,4-6 anos,Sanduíche,Leite,Porto Alegre,Chat,Cozinhar,Rock,Final da tarde,Terror;Comédia;Animação,China
37,Ingresso.com,4-6 anos,Pão de Queijo,Chá,Rio de Janeiro,Reuniões,Viajar,MPB,Começo da tarde,Terror,Bariloche
38,Inovação,4-6 anos,Sanduíche,Suco de Frutas,RJ,Chat,Viajar,Funk,Começo da tarde,Romance,Itália
39,Ingresso.com,4-6 anos,Salada de frutas,Leite,Porto Alegre - RS,Reuniões,Esportes,Rap,Final da tarde,Documentário,China
40,Produtos Digitais,<1 ano,Salada de frutas,Água,POA,Chat,Cozinhar,Funk,Começo da tarde,Drama;Comédia,Itália
41,Publicidade,10+ anos,Salada de frutas,Chá,Porto Alegre - RS,Chat,Viajar,Sertanejo,Manhã,Animação,Itália
42,Operações,7-10 anos,Pão de Queijo,Café,Porto Alegre - RS,Chat,Esportes,Sertanejo,Manhã,Comédia;Romance,Tramandaí
43,Host,4-6 anos,Pão de Queijo,Chá,RJ,Reuniões,Esportes,Rap,Manhã,Animação,Tramandaí
44,Host,<1 ano,Fruta,Suco de Frutas,Rio de Janeiro,E-mail,Jogos,Sertanejo,Final da tarde,Terror,Madrid
45,Ingresso.com,4-6 anos,Pão de Queijo,Café,BH,Chat,Jogos,Funk,Começo da tarde,Comédia,Madrid
46,Data & Analytics,1-3 anos,Bolo,Chocolate quente,Porto Alegre - RS,Reuniões,Esportes,Jazz,Começo da tarde,Romance,Toyko
47,Jurídico,7-10 anos,Bolo,Suco de Frutas,RJ,Chat,Esportes,Sertanejo,Final da tarde,Ficção Científica,Tramandaí
48,Atendimento,1-3 anos,Pão de Queijo,Chá,BH,E-mail,Leitura,Jazz;Funk;Rock,Manhã,Drama,EUA
49,Jurídico,<1 ano,Sanduíche,Chocolate quente,Porto Alegre,Chat,Viajar,Rap;Jazz;Pop,Começo da tarde,Ficção Científica,Itália
